Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 2,Primark Panels Cast #2,19 panels ,10/11/2025,Demold,dm,20,1,1,"de mold 19 panels , stage for finishing"
Week 2,Primark Panels Cast #2,19 panels ,10/11/2025,Special,drill,25,1,1,Drill required holes in back of 19 panels
,Primark Panels Cast #2,19 panels ,10/13/2025,Finish,acid,14,1,5,DAY 1 0F 4 .. acid wash 18 and fill voids as required
,Primark Panels Cast #2,19 panels ,10/15/2025,Finish,acid 3,7,2,5,DAY 2 OF 4  acid wash and fill voids as required
,Primark Panels Cast #2,19 panels ,10/16/2025,Finish,acid 4,3,3,5,DAY 3 OF 4  acid wash and fill voids as required
,Primark Panels Cast #2,19 panels ,10/17/2025,Finish,acid 5 ,4,4,5,DAY 5  OF 5  FINAL  acid wash and fill voids as required
,Primark Panels Cast #2,19 panels ,10/18/2025,Crating,build,13,1,1,Build Crate 19 Panels
,Primark Panels Cast #2,19 panels ,10/20/2025,Seal,seal ,14,1,2,"Seal..
19 Panels"
,Primark Panels Cast #2,19 panels ,10/21/2025,Seal,tu 3,12,2,2,"Seal .
19 Panels"
,Primark Panels Cast #2,19 panels ,10/22/2025,Finish,rack 3,10,5,5,rack all panels
,Primark Panels Cast #2,19 panels ,10/22/2025,Load,load,15,1,1,"Load 
19 Panels"
,Primark Panels Cast #3,16  panels ,10/20/2025,Mill,mill,8,1,1,"Check and Prep Form
Cut all Parts as req
16 Panels"
,Primark Panels Cast #3,16  panels ,10/21/2025,Form Out,rb,10,1,2,Rebuild 8 Panels
,Primark Panels Cast #3,16  panels ,10/22/2025,Form Out,rb 2,10,2,2,Rebuild 8 Panels
,Primark Panels Cast #3,16  panels ,10/23/2025,Cast,cast,45,1,1,Cast 16 Panels
,Primark Panels Cast #3,16  panels ,10/25/2025,Demold,dm 2,20,1,1,"de mold 16 panels , save forms for next casting"
,Primark Panels Cast #3,16  panels ,10/25/2025,Finish,acid,5,1,5,Acid
,Primark Panels Cast #3,16  panels ,10/25/2025,Special,drill,20,1,1,Drill 16 Panels
,Primark Panels Cast #3,16  panels ,10/27/2025,Crating,build,6,1,1,"Build Crate 
16 Panels"
,Primark Panels Cast #3,16  panels ,10/27/2025,Finish,acid 2,5,2,5,Acid Wash 16 Panels
,Primark Panels Cast #3,16  panels ,10/28/2025,Finish,acid 3,5,3,5,Acid Wash 16 panels
,Primark Panels Cast #3,16  panels ,10/29/2025,Finish,acid 4,5,4,5,Acid Wash 16 panels
,Primark Panels Cast #3,16  panels ,10/31/2025,Seal,seal,7,1,2,Seal 16 Panels
,Primark Panels Cast #3,16  panels ,11/3/2025,Finish,rack 4,5,5,5,Rack 16 Panels
,Primark Panels Cast #3,16  panels ,11/3/2025,Load,load,10,1,1,"Load
16 Panels"
,Primark Panels Cast #3,16  panels ,11/3/2025,Seal,tu,4,2,2,"Touch up 
16 panels"
,Primark Panels Cast #3,16  panels ,11/14/2025,Ship,ship,1,1,1,Ship 16 Panels
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/8/2025,Mill,mill,6,1,2,"cut sub bases for 33 panels ,Use old Mel/Flake cut rails 
over label bases , .
direction of wood grain. 
top and bottom 
clip location  etc."
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/9/2025,Form Out,fo,10,1,3,"Formout
16 Panels
Mark bumper Spacing.
epoxy all CDX wood."
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/9/2025,Mill,mill 2,7,2,2,"Mill Parts and Clip Bumpers
Cut Masonite Template w/ handle
33 panel."
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/10/2025,Form Out,fo 2,8,2,3,"Formout
17 Panels
Mark bumper Spacing
."
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/11/2025,Form Out,fo 3,2,3,3,"epoxy all CDX wood
calk forms "
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/15/2025,Cast,cast,30,1,1,"Cast 
33 Panels
Place Bumper and clips per DWG"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/16/2025,Demold,dm,12,1,1,"Demold 33 Panels
save all CDX for 
Greenley project "
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/17/2025,Finish,wash,12,1,1,"light Acids Wash 
33 Panels"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/20/2025,Crating,build,6,1,1,"Build Crate 
33 Panels"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/20/2025,Seal,seal,7,1,2,"Seal 
33 Panels"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/21/2025,Seal,tu 2,5,2,2,"Touch up / paint  
33 Panels"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/23/2025,Load,load,5,1,1,"Load
33 Panels"
,Queens BLVD panels ,"33 panels ,    1 casting , ",10/28/2025,Ship,ship,1,1,1,"Ship 
33 Panels"
,Reservoir Square stair mock up ,1 tread ,10/3/2025,Cast,cast,2,1,1,"Cast:
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/4/2025,Demold,dm,1,1,1,"Demold:
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/8/2025,Finish,g&f,1,1,2,"Grind and Fills
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/10/2025,Finish,gof 2,1,2,2,"Grind off Fill
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/13/2025,Crating,build,1,1,1,"Crate
1 Treads"
,Reservoir Square stair mock up ,1 tread ,10/13/2025,Seal,epoxy ,1,1,2,"Epoxy 
1 Treads"
,Reservoir Square stair mock up ,1 tread ,10/14/2025,Seal,seal ,2,2,2,"Seal 
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/16/2025,Load,load,1,1,1,"Load 
1 Tread"
,Reservoir Square stair mock up ,1 tread ,10/16/2025,Ship,ship,1,1,1,"Ship 
1 Tread"
,society  Hill C tops ,5 counter tops   ( Hudson G) ,9/30/2025,Finish,G&F,7,1,2,Grind and Fill 5 Slabs
,society  Hill C tops ,5 counter tops   ( Hudson G) ,10/1/2025,Finish,GOF 2,7,2,2,Grind off Fill 5 Slabs
,society  Hill C tops ,5 counter tops   ( Hudson G) ,10/3/2025,Seal,seal 2,4,1,1,"Seal 
5 Slabs"
,Spring Violtet  Cast #1 ,17 pc ,12/8/2025,Mill,mill,7,1,1,
,Spring Violtet  Cast #1 ,17 pc ,12/10/2025,Form Out,fo,15,1,1,
,Spring Violtet  Cast #1 ,17 pc ,12/17/2025,Cast,cast,25,1,1,
,Spring Violtet  Cast #1 ,17 pc ,12/18/2025,Demold,dm,12,1,1,
,Spring Violtet  Cast #1 ,17 pc ,12/19/2025,Finish,g&f,10,1,2,
,Spring Violtet  Cast #1 ,17 pc ,12/22/2025,Crating,build,4,1,1,
,Spring Violtet  Cast #1 ,17 pc ,12/22/2025,Finish,gof,10,2,2,
,Spring Violtet  Cast #1 ,17 pc ,12/24/2025,Seal,seal,5,1,3,
,Spring Violtet  Cast #1 ,17 pc ,12/29/2025,Seal,seal,5,2,3,
,Spring Violtet  Cast #1 ,17 pc ,12/30/2025,Seal,tu,4,3,3,
,Spring Violtet  Cast #2,7 pc ,12/15/2025,Mill,mill,5,1,1,
,Spring Violtet  Cast #2,7 pc ,12/16/2025,Form Out,fo,10,1,1,
,Spring Violtet  Cast #2,7 pc ,12/19/2025,Cast,cast,15,1,1,
,Spring Violtet  Cast #2,7 pc ,12/22/2025,Crating,Build,4,1,1,
,Spring Violtet  Cast #2,7 pc ,12/22/2025,Demold,dm,5,1,1,
,Spring Violtet  Cast #2,7 pc ,12/23/2025,Finish,g&f,7,1,2,
,Spring Violtet  Cast #2,7 pc ,12/24/2025,Finish,gof,7,2,2,
,Spring Violtet  Cast #2,7 pc ,12/29/2025,Seal,seal,3,1,2,
,Spring Violtet  Cast #2,7 pc ,12/30/2025,Seal,seal,2,2,2,
,Stoneham CO 3 &CO4,4 treads  32 landings ,9/29/2025,Special,strips 2,8,1,1,"Remove Azek
4 Treads"
,Stoneham CO 3 &CO4,4 treads  32 landings ,10/27/2025,Crating,build,1,1,1,"Build Crate:
4 Treads
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,10/27/2025,Form Out,fo,1,1,1,"PARTS 

cut all parts for 4 treads 
32 landings 
use based from Travel inc. "
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/5/2025,Cast,cast 2,1,1,1,"screen concrete sand for face mix , 
batch grit "
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/6/2025,Demold,dm,0,1,1,"Demold:
4 Treads
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/12/2025,Finish,g&f,,1,2,"Grind and Fill
4 Treads 
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/13/2025,Finish,gof,,2,2,"Grind off Fill
4 Treads
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/14/2025,Seal,seal,,1,2,"Seal 
4 Treads 
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/17/2025,Seal,seal,,2,2,"Seal 
4 Treads
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/19/2025,Load,load,,1,1,"Load Crate:
4 Treads
32 Landings"
,Stoneham CO 3 &CO4,4 treads  32 landings ,11/20/2025,Ship,ship,1,1,1,"Ship:
4 Treads
32 Landings"
,U of M stair B                cast #1,16 treads  7 landings ( NEW build )  re use form ,11/13/2025,Special,azak,12,1,3,Remove Azek 16 Treads 7 Landings
,U of M stair B                cast #1,16 treads  7 landings ( NEW build )  re use form ,11/14/2025,Special,strips,13,2,3,Install Strips 16 Treads 7 landings
,U of M stair B                cast #1,16 treads  7 landings ( NEW build )  re use form ,11/17/2025,Special,tu 3,5,3,3,Touch Up 16 Treads 7 landings
,U of M stair B                cast #1,16 treads  7 landings ( NEW build )  re use form ,11/19/2025,Load,load,17,1,1,Load 16 Treads 7 Landings
,U of M stair B               cast #2,10 treads  7 landings     ( use forms form cast #1 ),11/17/2025,Special,azak,12,1,3,
,U of M stair B               cast #2,10 treads  7 landings     ( use forms form cast #1 ),11/18/2025,Special,strips,13,2,3,
,U of M stair B               cast #2,10 treads  7 landings     ( use forms form cast #1 ),11/19/2025,Special,tu 3,5,3,3,touch up strips on 10 treads 7 landings
,U of M stair B               cast #2,10 treads  7 landings     ( use forms form cast #1 ),11/20/2025,Load,load,17,1,1,
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/3/2025,Seal,tu 3,3,1,1,"Touch up 
16 Treads 5 Landings"
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/5/2025,Finish,rack,3,1,1,"rack 
16 Treads 5 landings"
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/20/2025,Special,azak,12,1,3,Remove
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/21/2025,Special,strips,13,2,3,
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/24/2025,Special,tu 3,5,3,3,
,U of M stair B               cast #3,16 treads  5 landings     ( use forms form cast #2),11/25/2025,Load,load,17,1,1,
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),12/2/2025,Load,load,17,1,1,
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/3/2025,Crating,build,11,1,1,Build Crate 16 Treads 4 Landings
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/4/2025,Finish,grind,13,1,3,"Grind and Fill
16 Treads  4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/5/2025,Finish,g&f 2,13,2,3,"Grind and Fill
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/6/2025,Finish,gof 3,8,3,3,"Grind off Fill
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/10/2025,Seal,seal,5,1,3,"Seal 
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/11/2025,Seal,seal 2,6,2,3,"Seal
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/12/2025,Seal,tu 3,3,3,3,"Touch up 
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/13/2025,Special,azak,12,1,6,Remove Azek 16 Treads 4 Landings
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/14/2025,Special,strips,13,2,6,Install Strips 16 Treads 4 Landings
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/17/2025,Special,tu 3,5,3,6,"Touch up
16 Treads 4 Landings"
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/24/2025,Special,azak,12,4,6,
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/25/2025,Special,strips,13,5,6,
,U of M stair B               cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/26/2025,Special,tu 3,5,6,6,
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),12/3/2025,Load,load,17,2,2,
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),10/31/2025,Form Out,rb,7,1,2,"re build 13 treads,  use forms from cast #4"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),10/31/2025,Mill,mill,4,1,2,Rebuild 11 Treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/1/2025,Form Out,rb,8,2,2,"re build 6 treads , use forms from cast #4"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/1/2025,Mill,mill,3,2,2,complete parts
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/3/2025,Crating,build,11,1,1,build crate for 13 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/3/2025,Special,rebar,10,1,5,make re bar cage for 11 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/4/2025,Cast,cast,40,1,1,"cast 13 treads .  includes 2 extra
5 mixers"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/4/2025,Special,rb 3,5,2,5,help set steel plates
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/5/2025,Demold,dm,20,1,1,"Demold 
13 treads"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/6/2025,Finish,grind ,13,1,3,grind 13 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/7/2025,Finish,g&f 2,13,2,3,grind and fill 13 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/10/2025,Finish,gof 3,8,3,3,"Grind off Fill
11 Treads"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/12/2025,Seal,seal,5,1,3,"Seal 
11 Treads"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/13/2025,Seal,seal 2,6,2,3,"Seal 
11 Treads"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/14/2025,Seal,tu 3,3,3,3,"Touch up 
11 Treads"
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/18/2025,Special,azak,12,3,5,remove Azak and plastic strips in 11 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/19/2025,Special,strips 2,13,4,5,Install Eco glow and Nystrom strips in 11 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/20/2025,Special,tu 3,5,5,5,touch up 11 treads
,U of M stair B               cast #5,11 treads                          ( use forms form cast #4 ),11/21/2025,Load,load,17,1,2,
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/1/2025,Mill,mill,20,1,2,"Cut all Parts 
16 Treads"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/2/2025,Mill,mill 2,20,2,2,"Cut all Parts Except Bases
7 Landings
Cut All Azek Parts
5x12 Melamine for Bases to Arrive Friday
Use DFCU Mockup Base"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/3/2025,Special,rebar,5,1,3,complete rebar 8 treads
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/4/2025,Cast,batch,,1,2,"Screen Cowbay
Screen Grit per Color Log"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/4/2025,Form Out,fo,12,1,2,"Form out 
Caulk Azek First 
then Attach FER
16 Treads"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/4/2025,Special,rebar 1,5,2,3,complete rebar 8 treads
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/6/2025,Form Out,fo 2,12,2,2,"Form out
Caulk Azek first
then attach FER
7 landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/8/2025,Cast,cast,40,2,2,"Cast 
16 Treads 
7 landings.,"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/8/2025,Special,rebar 3,5,3,3,"fabricate re bar cages for 5 landings 
help set steel plates and rebar with cast team"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/9/2025,Demold,dm,20,1,1,"Demold
16 Treads
7 landings
remove front return on all treads
unscrew , be aware of nails attaching return to form"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/10/2025,Finish,g&f,13,1,5,"Grind 
16 Treads
7 Landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/11/2025,Finish,G&f 2,13,2,5,"Grind and fill 
16 Treads
7 Landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/13/2025,Finish,g&f ,0,3,5,"grind off fill 
16 Treads
7 Landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/14/2025,Finish,gof 3,8,4,5,"rack 16 treads 
7 landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/16/2025,Seal,seal,5,1,3,"Seal
16 Treads
7 Landings
confirm H -13 or 
More sealer "
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/17/2025,Seal,seal 2,6,2,3,"Seal
16 Treads
7 Landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/18/2025,Finish,rack 4,4,5,5,"rack 16 treads , 7 landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/18/2025,Seal,tu 3,3,3,3,"Touchup
16 Treads
7 Landings"
,U of M stair B cast #1 ,16 treads  7 landings ( NEW build )  re use form ,10/21/2025,Crating,build,11,1,1,"Build Crate 
16 treads 
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/10/2025,Mill,mill,7,1,1,"Mill All Parts for Rebuild as Req.
Store Extra Treads"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/10/2025,Special,rebar,7,1,3,help set steel plates with cast team 
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/11/2025,Form Out,rb,15,1,2,"Rebuild
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/13/2025,Special,rebar 2,3,2,3,fab rebar for 7 landings 
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/16/2025,Form Out,rb 3,0,2,2,install steel plates on supports 
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/17/2025,Cast,cast,40,1,1,"Cast 
10 Treads 
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/17/2025,Special,rb 3,5,3,3,help set steel plates with cast team 
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/18/2025,Demold,dm,20,1,1,"Demold 
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/20/2025,Finish,grind,13,1,6,"Grind 
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/21/2025,Finish,g&f 2,13,2,6,"Grind and Fill
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/22/2025,Finish,Gof 3,6,3,6,"Grind off Fill
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/23/2025,Crating,build,11,1,1,"Build Crates
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/23/2025,Finish,tu 4,2,4,6,re grind front edge 
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/24/2025,Finish,tu 4,0,5,6,"Rack
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/25/2025,Seal,seal,5,1,3,"Seal
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/27/2025,Seal,seal 2,6,2,3,"Seal
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/28/2025,Seal,tu 3,3,3,3,"Touch up
10 Treads
7 Landings"
,U of M stair B cast #2,10 treads  7 landings     ( use forms form cast #1 ),10/29/2025,Finish,rack 4,4,6,6,
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/18/2025,Mill,mill,7,1,1,"Check and Prep Forms
Cut all parts as Req
16 Treads
5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/18/2025,Special,rebar,10,1,2,fabricate rebar cages for 16 treads / 5 landings
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/20/2025,Form Out,rb ,7,1,2,"Form out
 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/23/2025,Form Out,rb 2,8,2,2,"form out 16 treads, install steel plates to supports"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/24/2025,Cast,cast,40,1,1,Cast 16 Treads 5 Landings
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/24/2025,Special,rb 2,5,2,2,Help cast team set steel plates
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/25/2025,Demold,dm,20,1,1,"Demold
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/27/2025,Crating,build,11,1,1,"Build Crate
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/27/2025,Finish,grind,13,1,3,"Grind
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/28/2025,Finish,g&f 2,13,2,3,"Grind and Fill
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/29/2025,Finish,gof 3,8,3,3,"Grind off Fill
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),10/31/2025,Seal,seal ,6,1,2,"Seal 
16 Treads 5 Landings"
,U of M stair B cast #3,16 treads  5 landings     ( use forms form cast #2),11/1/2025,Seal,seal 2,5,2,2,"Seal
16 Treads 5 Landings"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/27/2025,Form Out,rb,5,1,2,Build 4 Landings
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/27/2025,Mill,mill,7,1,1,"Mill Parts for
4 Landings"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/28/2025,Form Out,rb 2,10,2,2,re build 16 treads
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/28/2025,Special,rebar,5,1,3,"Rebar for
8 Treads"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/29/2025,Special,rebar 2,5,2,3,"Rebar for 8 treads 
4 Landings"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/30/2025,Cast,cast,30,1,2,"Cast 
16 Treads"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/30/2025,Special,rb 2,5,3,3,help casting set plates
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/31/2025,Cast,cast 2,10,2,2,cast 4 landings
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),10/31/2025,Demold,dm,10,1,2,"Demold 
16 Treads"
,U of M stair B cast #4,16 treads  4 landings     ( use forms form cast #3 ),11/1/2025,Demold,dm 2,10,2,2,"de mold 4 landings, 1 tread"
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/6/2025,Form Out,fo,20,1,1,Form out 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/6/2025,Mill,mill,20,1,1,Mill Parts 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/7/2025,Cast,cast,35,1,1,Cast 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/7/2025,Special,rebar,15,1,4,rebar for 18 treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/10/2025,Demold,dm,15,1,2,Demold 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/12/2025,Finish,g&f,13,1,3,Grind and Fill 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/13/2025,Demold,g,,2,2,
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/13/2025,Finish,g&f 2,13,2,3,Grind and Fill 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/14/2025,Finish,gof 3,8,3,3,Grind of Frill 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/17/2025,Seal,seal,5,1,3,Seal 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/18/2025,Seal,seal 2,6,2,3,Seal 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/19/2025,Seal,tu 3,3,3,3,Touch up 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/20/2025,Special,azak,12,2,4,Install Strips 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/24/2025,Crating,build,8,1,1,Build Crate 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/24/2025,Special,strips 2,13,3,4,Touch up Strips 18 Treads
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/25/2025,Special,strips 2,13,4,4,
,U of M stair Y  Cast #1     ,18 treads ( new build )  use forms form stiar B C #4-#5,11/26/2025,Load,load,15,1,1,
,U of M stair Y  Cast #2  ,12 landings   ( new build ) ,10/31/2025,Mill,mill,8,1,2,"Mill all Parts
6 Landings.."
,U of M stair Y  Cast #2  ,12 landings   ( new build ) ,11/1/2025,Mill,mill 2,7,2,2,mill parts for 6 landings
,U of M stair Y  Cast #2     ,12 landings ,11/3/2025,Form Out,fo,7,1,2,Form out 6 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/3/2025,Special,rebar,7,1,6,Make Rebar 6 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/4/2025,Form Out,fo 2,8,2,2,Form out 6 Landings
,U of M stair Y  Cast #2     ,12 landings ,11/4/2025,Special,rebar,8,2,6,Make Rebar 6 Landings
