Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Week 1,Castleberry stair 2 cast #2,15 treads Use froms form cast #1   ( FULL RETURN) ,9/30/2025,Seal,seal 2,3,2,3,"Seal:
16 Treads "
Week 1,Castleberry stair 2 cast #2,15 treads Use froms form cast #1   ( FULL RETURN) ,10/1/2025,Seal,tu 3,2,3,3,"Touch Up:
16 Treads "
Week 1,Castleberry stair 2 cast #2,15 treads Use froms form cast #1   ( FULL RETURN) ,10/2/2025,Finish,rack 3,4,1,1,"Grind and Fill:
16 Treads"
Week 1,Castleberry stair 2 cast #2,15 treads Use froms form cast #1   ( FULL RETURN) ,10/3/2025,Load,load,6,1,1,"Load:
16 Treads"
Week 1,Castleberry Stair 3     ( shipping ) ,"cast 1 - 6  24 landings , 134 treads  ",11/5/2025,Ship,ship ,2,1,1,Ship Cast 1-6 24 Landings 134 Treads
Week 1,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",9/29/2025,Cast,cast,35,1,1,"Cast:
38 Treads

Cast side ""B"""
Week 1,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",9/30/2025,Demold,dm,15,1,1,"Demold:
38 Treads"
Week 1,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/1/2025,Finish,g&f,13,1,3,"Grind and Fill:
38 treads"
Week 1,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/2/2025,Finish,gof 1 ,13,2,3,"Grind off Fill:
38 treads"
Week 1,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/4/2025,Seal,seal,5,1,3,"Seal:
38 treads"
Week 2,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/7/2025,Seal,seal 2,5,2,3,"Seal:
38 treads"
Week 2,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/8/2025,Seal,tu 3,4,3,3,"Touch up:
38 Treads"
Week 2,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/9/2025,Finish,rack 3,4,3,3,"Rack 
38 treads"
Week 2,Castleberry Stair 3 cast #1,"38 treads ( new build, to be re used for cast #2 ) ",10/9/2025,Load,load,6,1,1,"Load:
38 Treads"
Week 1,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/1/2025,Mill,mill,5,1,2,"Check all  36 Form 
Clean and Prep all Forms
for form out 
replace any damaged forms"
Week 1,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/3/2025,Mill,rb 2,15,2,2,"re build

 36 forms from cast #1
re calk as required 
re label "
Week 1,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/4/2025,Crating,build,6,1,1,"Build Crate for:
36 treads"
Week 1,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/6/2025,Cast,cast,35,1,1,"Cast:
36 Treads"
Week 2,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/7/2025,Demold,dm,15,1,1,"Demold:
36 Treads"
Week 2,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/8/2025,Finish,g&f,13,1,2,"Grind and Fill:
36 treads"
Week 2,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/9/2025,Finish,gof 1 ,13,2,2,"Grind off Fill:
36 treads"
Week 2,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/13/2025,Seal,seal,5,1,3,"Seal:
36 treads"
Week 3,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/14/2025,Seal,seal 2,5,2,3,"Seal:
36 treads"
Week 3,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/15/2025,Load,load,6,1,1,"Load:
36 Treads"
Week 3,Castleberry Stair 3 cast #2,36 treads (  re build  to be re used for cast #3 ) ,10/15/2025,Seal,tu 3,4,3,3,"Touch up:
36 Treads"
Week 2,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/8/2025,Mill,mill,4,1,2,"Check and Prep All Forms
Trim 30 Forms on CNC to T3.3 Height.."
Week 2,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/9/2025,Form Out,rb,15,1,1,"Rebuild Caulk 30 Form
Use extra forms Profile to Replace Damaged Ones."
Week 2,Castleberry Stair 3 cast #3,"30 treads ( re build, to be re used for cast #4 ) ",10/9/2025,Mill,mill 2,1,2,2,"complete milling of remaining forms
Recover Profiles From unused Cast 2 Forms.."
